customer_id,name,email,age,gender,location,subscription_plan,signup_date,tenure_months,monthly_spend,previous_month_spend,total_spend,login_frequency_per_week,sessions_per_week,avg_session_duration_mins,days_since_last_login,feature_usage_score,usage_change_30d_pct,marketing_emails_opened_pct,support_tickets,complaints,avg_resolution_time_hours,payment_failures_last_3m,discount_received,customer_satisfaction_score,churn,actual_ltv
CUST-1000,Rahul Reddy,rahul.reddy.1000@example.com,22,Female,Chennai,Standard,2026-02-07,5,4847.49,5040.25,23988.28,0.8,1.8,29.4,5,1,-27.0,21.6,3,1,48.2,0,1,4,0,126097.39
CUST-1001,Tanvi Iyer,tanvi.iyer.1001@example.com,57,Female,Chennai,Premium,2026-05-19,2,11061.08,11500.92,21894.73,4.9,10.9,31.9,2,9,-42.6,17.2,2,0,25.8,1,0,4,0,558597.03
CUST-1002,Harsh Sharma,harsh.sharma.1002@example.com,45,Female,Hyderabad,Basic,2026-01-20,6,1583.7,1646.68,9404.51,3.3,7.3,19.4,1,9,32.6,0.0,2,1,19.9,0,0,4,0,80361.22
CUST-1003,Siddharth Bose,siddharth.bose.1003@example.com,48,Female,Pune,Standard,2025-09-18,10,4517.78,4697.43,44713.35,4.2,9.4,25.6,39,7,-22.2,77.3,1,0,18.3,2,1,4,0,201574.02
CUST-1004,Karan Chopra,karan.chopra.1004@example.com,23,Male,Mumbai,Standard,2025-06-22,13,4145.63,4310.48,53339.14,8.1,18.0,24.8,17,1,9.3,43.0,1,0,11.2,0,0,5,0,161139.86
CUST-1005,Sneha Agarwal,sneha.agarwal.1005@example.com,52,Male,Delhi NCR,Standard,2026-06-12,1,4089.98,4252.62,4047.93,0.5,1.1,12.6,7,10,-5.5,87.2,1,0,7.2,0,0,4,0,188086.2
CUST-1006,Harsh Bose,harsh.bose.1006@example.com,35,Other,Delhi NCR,Premium,2025-04-24,15,9458.47,9834.58,140418.48,3.0,6.7,25.5,16,2,75.0,37.4,1,1,1.0,1,1,3,0,401727.33
CUST-1007,Varun Chopra,varun.chopra.1007@example.com,23,Male,Pune,Basic,2025-09-12,10,1738.95,1808.1,17210.73,2.6,5.8,35.6,20,8,10.4,48.8,5,3,37.3,0,1,2,0,60315.06
CUST-1008,Rahul Chopra,rahul.chopra.1008@example.com,50,Male,Pune,Basic,2025-08-25,11,1612.18,1676.29,17551.67,3.0,6.7,18.3,8,8,-54.1,63.4,1,0,19.3,2,0,4,0,72648.97
CUST-1009,Shreya Agarwal,shreya.agarwal.1009@example.com,36,Female,Chennai,Premium,2024-05-22,26,10663.1,11087.12,274390.43,0.2,0.5,23.7,5,5,30.9,81.3,1,0,23.3,0,0,5,0,621691.57
CUST-1010,Nikhil Iyer,nikhil.iyer.1010@example.com,33,Male,Pune,Basic,2026-01-29,6,1740.08,1809.27,10333.15,6.9,15.4,24.3,16,2,-12.8,54.0,0,0,17.4,2,0,3,0,41258.52
CUST-1011,Deepak Bose,deepak.bose.1011@example.com,58,Female,Chennai,Standard,2026-04-12,3,3627.76,3772.02,10771.39,7.0,15.6,18.9,6,3,-7.6,42.1,0,0,7.7,0,0,4,0,150811.65
CUST-1012,Karan Mehta,karan.mehta.1012@example.com,49,Female,Ahmedabad,Basic,2025-07-19,12,1679.75,1746.54,19949.78,5.4,12.0,29.4,1,5,-20.8,42.7,5,2,26.0,0,1,3,1,68463.13
CUST-1013,Karan Kapoor,karan.kapoor.1013@example.com,41,Male,Mumbai,Basic,2023-02-25,41,1578.15,1640.9,64038.96,1.4,3.1,14.5,3,3,3.5,16.9,5,2,43.1,0,0,3,0,79160.89
CUST-1014,Meera Patel,meera.patel.1014@example.com,45,Female,Hyderabad,Standard,2025-08-26,11,4238.22,4406.75,46141.14,4.8,10.7,36.7,4,10,3.1,32.8,4,1,3.5,0,1,5,0,234928.25
CUST-1015,Varun Kapoor,varun.kapoor.1015@example.com,42,Male,Chennai,Premium,2024-06-16,25,10676.69,11101.25,264173.2,6.0,13.4,28.9,20,1,-20.1,43.2,1,1,17.9,0,1,4,0,460695.87
CUST-1016,Priya Kumar,priya.kumar.1016@example.com,31,Male,Pune,Basic,2024-11-20,20,1636.4,1701.47,32391.54,5.0,11.1,11.7,8,6,-16.2,75.2,1,0,16.3,0,0,4,0,91671.66
CUST-1017,Sneha Chopra,sneha.chopra.1017@example.com,35,Female,Bengaluru,Basic,2025-08-13,11,1813.74,1885.86,19746.03,4.1,9.1,40.7,15,5,0.8,31.7,2,1,19.1,0,0,4,0,87157.82
CUST-1018,Meera Saxena,meera.saxena.1018@example.com,58,Female,Jaipur,Basic,2025-04-15,15,1723.07,1791.59,25580.34,7.2,16.0,23.8,10,3,-67.6,67.5,1,0,1.0,0,0,4,0,68697.18
CUST-1019,Rohan Deshmukh,rohan.deshmukh.1019@example.com,39,Female,Delhi NCR,Standard,2025-11-14,8,4372.88,4546.77,34623.4,2.7,6.0,14.0,2,9,-42.4,40.0,2,0,27.2,0,0,5,0,262924.43
CUST-1020,Isha Chopra,isha.chopra.1020@example.com,45,Male,Mumbai,Basic,2025-08-18,11,1744.97,1814.36,18997.34,3.8,8.5,34.2,9,10,44.8,71.8,3,1,38.0,1,0,4,0,95767.39
CUST-1021,Varun Mehta,varun.mehta.1021@example.com,35,Female,Jaipur,Standard,2025-09-09,10,3652.78,3798.03,36152.28,5.5,12.2,27.4,1,8,7.2,58.2,0,0,4.2,0,0,4,0,196717.6
CUST-1022,Aditi Verma,aditi.verma.1022@example.com,55,Male,Kolkata,Premium,2025-01-29,18,8184.4,8509.85,145804.68,4.9,10.9,2.5,3,7,-16.7,56.6,2,0,1.0,0,0,4,0,471827.3
CUST-1023,Meera Saxena,meera.saxena.1023@example.com,33,Female,Pune,Standard,2025-11-13,8,3715.76,3863.52,29420.48,5.4,12.0,16.2,12,2,-49.5,65.5,2,0,40.0,0,1,4,0,145199.09
CUST-1024,Neha Malhotra,neha.malhotra.1024@example.com,43,Male,Chennai,Basic,2026-05-19,2,1578.67,1641.45,3124.88,5.3,11.8,25.1,7,10,-3.6,62.0,0,0,11.0,0,1,5,0,87265.68
CUST-1025,Simran Agarwal,simran.agarwal.1025@example.com,27,Female,Hyderabad,Standard,2024-09-17,22,3928.65,4084.87,85541.75,5.3,11.8,2.0,13,5,25.6,67.5,1,0,4.3,0,0,4,0,204164.64
CUST-1026,Ananya Chauhan,ananya.chauhan.1026@example.com,57,Male,Bengaluru,Enterprise,2025-02-10,17,31111.04,32348.17,523450.45,3.4,7.6,22.9,2,5,71.9,93.2,0,0,14.7,2,0,4,0,1200000.0
CUST-1027,Aditi Patel,aditi.patel.1027@example.com,57,Male,Hyderabad,Basic,2023-01-12,42,1633.61,1698.57,67906.26,2.7,6.0,23.7,10,6,51.0,80.8,2,2,35.8,0,1,2,0,97939.32
CUST-1028,Swati Gupta,swati.gupta.1028@example.com,43,Male,Jaipur,Basic,2025-11-15,8,1696.64,1764.11,13433.58,4.5,10.0,9.0,1,6,-26.8,53.2,1,1,16.5,0,0,3,0,72216.98
CUST-1029,Tara Saxena,tara.saxena.1029@example.com,35,Female,Bengaluru,Standard,2026-06-02,2,3989.35,4147.99,7896.67,7.4,16.5,25.0,5,3,-15.9,31.4,4,1,25.6,1,0,3,1,108151.53
CUST-1030,Varun Nair,varun.nair.1030@example.com,37,Female,Chandigarh,Basic,2026-05-23,2,1517.93,1578.29,3004.65,4.1,9.1,22.1,4,4,-43.2,50.8,2,0,14.6,2,1,3,1,40200.79
CUST-1031,Aarav Singh,aarav.singh.1031@example.com,57,Female,Delhi NCR,Standard,2024-10-27,21,4068.63,4230.42,84562.85,5.5,12.2,8.9,6,1,-25.6,0.0,1,0,7.7,2,1,4,1,138819.36
CUST-1032,Neha Chopra,neha.chopra.1032@example.com,46,Male,Pune,Premium,2026-06-10,1,10299.87,10709.44,10193.98,4.4,9.8,32.1,1,1,-8.0,61.9,1,0,1.0,1,0,4,0,332306.55
CUST-1033,Shreya Singh,shreya.singh.1033@example.com,53,Male,Kolkata,Standard,2023-09-25,34,4262.12,4431.6,143422.31,8.5,18.9,31.2,3,5,-12.3,16.6,3,0,32.0,0,1,4,0,259770.92
CUST-1034,Isha Bose,isha.bose.1034@example.com,54,Male,Jaipur,Standard,2026-02-11,5,4323.68,4495.61,21396.15,3.9,8.7,18.8,8,4,55.5,68.9,2,0,22.8,0,1,5,0,182548.73
CUST-1035,Harsh Kapoor,harsh.kapoor.1035@example.com,57,Female,Chennai,Standard,2023-10-18,33,4427.7,4603.77,144611.97,5.5,12.2,19.8,6,7,-38.8,89.5,1,0,6.8,0,1,5,0,271720.67
CUST-1036,Neha Gupta,neha.gupta.1036@example.com,41,Male,Delhi NCR,Basic,2024-10-27,21,1752.46,1822.15,36423.32,2.7,6.0,30.0,5,7,-3.3,7.2,1,1,28.9,0,0,3,0,89450.53
CUST-1037,Sanjay Kapoor,sanjay.kapoor.1037@example.com,39,Female,Kolkata,Basic,2024-02-21,29,1396.51,1452.04,40082.44,1.8,4.0,19.8,5,4,-59.8,40.8,0,0,5.6,0,0,4,0,75194.95
CUST-1038,Manish Pandey,manish.pandey.1038@example.com,59,Female,Hyderabad,Premium,2026-03-15,4,10545.98,10965.34,41750.25,4.2,9.4,2.0,21,10,7.3,16.5,1,0,15.5,2,1,2,0,446706.21
CUST-1039,Aditya Gupta,aditya.gupta.1039@example.com,24,Female,Delhi NCR,Enterprise,2025-06-20,13,27427.21,28517.85,352888.18,6.7,14.9,27.4,20,2,-39.6,0.5,1,1,31.1,0,0,3,0,630658.33
CUST-1040,Aditya Gupta,aditya.gupta.1040@example.com,44,Female,Kolkata,Premium,2026-05-21,2,10206.52,10612.38,20203.18,5.5,12.2,13.1,3,10,28.9,39.4,1,0,21.6,0,0,5,0,500031.77
CUST-1041,Rajesh Sharma,rajesh.sharma.1041@example.com,53,Female,Kolkata,Enterprise,2026-03-30,4,25365.06,26373.7,100417.18,0.2,0.5,17.7,3,4,-10.1,57.2,2,2,27.1,0,0,2,1,1066144.94
CUST-1042,Pooja Verma,pooja.verma.1042@example.com,37,Female,Hyderabad,Basic,2026-01-23,6,1563.88,1626.07,9286.82,5.7,12.7,38.0,6,8,-41.3,60.1,1,0,25.8,0,1,5,0,82773.05
CUST-1043,Swati Malhotra,swati.malhotra.1043@example.com,26,Male,Kolkata,Basic,2024-12-19,19,1470.38,1528.85,27650.01,1.0,2.2,20.5,0,2,-60.9,45.7,1,0,16.1,0,0,3,0,51873.39
CUST-1044,Tara Sharma,tara.sharma.1044@example.com,25,Female,Mumbai,Standard,2026-06-19,1,4969.78,5167.4,4918.69,6.0,13.4,22.0,2,5,-29.4,2.1,6,4,41.7,2,1,1,1,13894.95
CUST-1045,Tara Singh,tara.singh.1045@example.com,42,Male,Bengaluru,Basic,2023-10-17,33,1609.85,1673.87,52578.9,5.3,11.8,27.6,1,7,4.7,45.0,1,0,36.1,1,0,3,0,94557.14
CUST-1046,Divya Agarwal,divya.agarwal.1046@example.com,35,Male,Mumbai,Premium,2026-05-29,2,11236.39,11683.2,22241.75,3.9,8.7,27.6,1,10,9.8,6.2,1,0,2.5,0,1,4,0,558852.78
CUST-1047,Siddharth Chauhan,siddharth.chauhan.1047@example.com,52,Male,Hyderabad,Enterprise,2025-12-10,7,26784.56,27849.64,185564.41,5.7,12.7,11.9,7,6,-16.0,7.8,1,0,20.8,0,0,4,0,1200000.0
CUST-1048,Simran Chopra,simran.chopra.1048@example.com,35,Male,Ahmedabad,Premium,2026-05-15,2,8791.24,9140.82,17401.72,3.6,8.0,21.3,3,9,23.9,18.1,3,0,33.0,0,0,5,0,345200.39
CUST-1049,Simran Kumar,simran.kumar.1049@example.com,27,Male,Delhi NCR,Standard,2024-10-31,21,4309.36,4480.72,89566.21,4.5,10.0,22.4,1,2,-33.8,67.2,2,2,11.6,0,1,2,0,155297.88
CUST-1050,Siddharth Deshmukh,siddharth.deshmukh.1050@example.com,33,Male,Chandigarh,Basic,2026-04-20,3,1369.87,1424.34,4067.36,1.2,2.7,25.0,16,4,-84.0,55.1,0,0,35.6,1,0,3,1,12391.25
CUST-1051,Simran Verma,simran.verma.1051@example.com,37,Female,Chennai,Basic,2023-12-23,31,1823.79,1896.31,55956.26,3.7,8.2,25.2,15,7,5.9,49.7,3,1,44.3,0,0,3,0,109533.44
CUST-1052,Nikhil Chauhan,nikhil.chauhan.1052@example.com,38,Male,Chennai,Standard,2025-08-31,11,4744.78,4933.46,51656.01,6.1,13.6,50.5,14,8,34.1,21.3,1,1,18.4,0,0,3,0,257912.16
CUST-1053,Neha Mishra,neha.mishra.1053@example.com,44,Male,Jaipur,Standard,2023-02-02,42,4614.99,4798.5,191836.91,1.4,3.1,9.1,3,5,34.4,32.7,3,1,27.5,1,0,4,0,264188.76
CUST-1054,Deepak Chauhan,deepak.chauhan.1054@example.com,35,Male,Jaipur,Standard,2026-02-10,5,4452.64,4629.7,22034.32,5.9,13.1,32.8,0,5,-38.4,9.1,0,0,7.2,1,1,4,0,176792.51
CUST-1055,Tanvi Kapoor,tanvi.kapoor.1055@example.com,28,Female,Hyderabad,Enterprise,2025-10-30,9,27572.45,28668.86,245600.92,0.2,0.5,35.0,0,4,-17.3,74.7,0,0,6.1,0,1,5,0,1200000.0
CUST-1056,Swati Rao,swati.rao.1056@example.com,53,Female,Jaipur,Premium,2025-02-20,17,11238.45,11685.35,189089.52,1.7,3.8,27.4,2,9,18.3,94.7,2,0,2.4,1,0,5,0,630865.45
CUST-1057,Sanjay Kapoor,sanjay.kapoor.1057@example.com,36,Female,Chennai,Basic,2024-06-26,25,1494.95,1554.4,36989.53,3.5,7.8,14.8,1,10,-19.6,55.4,0,0,36.3,0,1,4,0,105606.16
CUST-1058,Rohan Deshmukh,rohan.deshmukh.1058@example.com,38,Female,Mumbai,Basic,2025-12-01,8,1758.16,1828.07,13920.68,4.5,10.0,40.3,15,4,1.0,59.6,1,0,13.2,2,1,4,0,74901.89
CUST-1059,Vikram Pandey,vikram.pandey.1059@example.com,55,Male,Chandigarh,Standard,2023-11-25,32,4412.86,4588.34,139759.79,3.0,6.7,2.0,32,3,-22.1,38.2,1,0,1.0,1,0,4,0,182209.02
CUST-1060,Nikhil Bose,nikhil.bose.1060@example.com,26,Female,Chennai,Basic,2026-05-16,2,1861.1,1935.11,3683.93,2.9,6.5,14.5,12,9,-32.5,3.1,0,0,28.5,0,0,4,0,84624.71
CUST-1061,Rahul Bhatia,rahul.bhatia.1061@example.com,48,Male,Mumbai,Premium,2025-01-08,18,10706.39,11132.13,190733.81,6.5,14.5,34.9,9,7,-27.1,21.7,2,0,24.1,1,0,4,0,468529.7
CUST-1062,Varun Iyer,varun.iyer.1062@example.com,44,Male,Ahmedabad,Standard,2026-01-12,6,4996.69,5195.38,29671.93,6.7,14.9,17.9,6,9,24.8,30.8,2,1,28.5,0,0,4,0,270154.57
CUST-1063,Amit Joshi,amit.joshi.1063@example.com,35,Female,Hyderabad,Basic,2026-05-28,2,1657.76,1723.68,3281.43,3.3,7.3,39.6,11,4,-1.6,32.8,2,0,8.1,2,0,3,1,57669.08
CUST-1064,Rahul Sharma,rahul.sharma.1064@example.com,36,Male,Pune,Standard,2025-12-24,7,3885.39,4039.89,26918.12,3.4,7.6,5.4,22,3,33.6,27.2,1,1,19.2,0,0,3,0,139853.25
CUST-1065,Rhea Deshmukh,rhea.deshmukh.1065@example.com,54,Female,Ahmedabad,Standard,2024-01-10,30,4304.09,4475.24,127795.25,3.6,8.0,9.8,6,10,12.6,43.1,1,1,48.9,0,0,3,0,252056.28
